"","Country","CC","Year","UD","CENT","WC_STRUCT","WC_RIGHTS","Govint","Level","RI","Coord","EXT","laborforce","GDPperhead","GDPperemployed","Averagewage","emissions","New_law","count1","CorpAll","CorpAllsm","coalprod","oilprod","gasprod","CS_part","Corr","Dem","Indep","law_count","totlaw_count","Area","Region","unfccc_member","pa_member","kyoto_member","timetrend"
"1","Australia","AUS",1960,50.2,NA,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0572818219661713,-0.0572818219661713,NA,NA,NA,0.883,0.04,0.824,1,0,16,"East Asia & Pacific","Liberal",1,1,1,0
"2","Australia","AUS",1961,49.5,0.085,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0574146397411823,-0.0573482289910316,NA,NA,NA,0.883,0.04,0.824,1,0,16,"East Asia & Pacific","Liberal",1,1,1,1
"3","Australia","AUS",1962,49.5,NA,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0575474575161934,-0.0574146397411823,NA,NA,NA,0.883,0.04,0.826,1,0,16,"East Asia & Pacific","Liberal",1,1,1,2
"4","Australia","AUS",1963,49.2,0.082,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0576802715659142,-0.0574810467660427,NA,NA,NA,0.883,0.04,0.835,1,0,16,"East Asia & Pacific","Liberal",1,1,1,3
"5","Australia","AUS",1964,48.2,NA,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0576802715659142,-0.0575208924710751,NA,NA,NA,0.883,0.04,0.83,1,0,16,"East Asia & Pacific","Liberal",1,1,1,4
"6","Australia","AUS",1965,47.9,0.082,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0576802715659142,-0.0576005838811398,NA,4.02637533875339,NA,0.883,0.04,0.83,1,0,16,"East Asia & Pacific","Liberal",1,1,1,5
"7","Australia","AUS",1966,45.8,NA,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0576802715659142,-0.0576537102460861,NA,5.17676829268293,NA,0.895,0.04,0.83,1,0,16,"East Asia & Pacific","Liberal",1,1,1,6
"8","Australia","AUS",1967,45,0.082,0,0,3,4,0,3,3,NA,NA,NA,NA,NA,0,0,-0.0576802715659142,-0.0576802715659142,NA,12.0791260162601,NA,0.895,0.04,0.841,1,0,16,"East Asia & Pacific","Liberal",1,1,1,7
"9","Australia","AUS",1968,44.8,NA,0,0,3,4,0,2,3,NA,NA,NA,NA,NA,0,0,-0.168658569455147,-0.0798759311437607,NA,22.4941219512195,NA,0.895,0.04,0.841,1,0,16,"East Asia & Pacific","Liberal",1,1,1,8
"10","Australia","AUS",1969,44.4,0.085,0,0,3,4,0,2,3,NA,NA,NA,NA,NA,0,0,-0.168525755405426,-0.102045029401779,NA,25.8838414634146,NA,0.895,0.04,0.84,1,0,16,"East Asia & Pacific","Liberal",1,1,1,9
"11","Australia","AUS",1970,44.2,NA,0,0,3,4,0,2,3,NA,4638.888917,10750.14892,NA,NA,0,0,-0.168525755405426,-0.124214127659798,NA,101.234579945799,17.3039884631797,0.894,0.04,0.855,1,0,16,"East Asia & Pacific","Liberal",1,1,1,10
"12","Australia","AUS",1971,45.4,0.085,0,0,3,4,1,2,3,NA,4849.91946,11443.765676,NA,NA,0,0,-0.0574146397411823,-0.124160997569561,NA,177.420345037847,25.8267000223435,0.894,0.04,0.855,1,0,16,"East Asia & Pacific","Liberal",1,1,1,11
"13","Australia","AUS",1972,46.3,NA,0,0,3,4,1,2,3,NA,5195.435134,12273.69928,NA,NA,0,0,-0.0572854615747929,-0.124082036316395,NA,189.336465208859,37.0742925234103,0.931,0.04,0.86,1,0,16,"East Asia & Pacific","Liberal",1,1,1,12
"14","Australia","AUS",1973,47.2,0.087,0,0,3,4,1,2,3,NA,5779.516516,13494.9927,NA,NA,0,0,-0.0571562871336937,-0.101781576871872,NA,237.187225866741,47.0688375840399,0.931,0.04,0.871,1,0,16,"East Asia & Pacific","Liberal",1,1,1,13
"15","Australia","AUS",1974,48.8,NA,0,0,3,4,1,2,3,NA,6228.471517,14477.933408,NA,NA,0,0,-0.0571562871336937,-0.0795076861977577,NA,234.677187447434,53.7020331615922,0.931,0.04,0.866,1,0,16,"East Asia & Pacific","Liberal",1,1,1,14
"16","Australia","AUS",1975,50.1,0.087,0,0,3,4,1,3,3,NA,6919.657559,16306.107164,NA,NA,0,0,0.0539548248052597,-0.0350115709006786,NA,251.462015676105,57.6700167229765,0.931,0.04,0.863,1,0,16,"East Asia & Pacific","Liberal",1,1,1,15
"17","Australia","AUS",1976,49.5,NA,0,0,3,4,0,3,3,NA,7376.23074,17325.39757,NA,NA,0,0,-0.0571562871336937,-0.034959901124239,NA,257.499024670591,68.0772718532739,0.931,0.04,0.861,1,0,16,"East Asia & Pacific","Liberal",1,1,1,16
"18","Australia","AUS",1977,49.1,0.087,0,0,3,4,0,3,3,NA,7706.213542,18154.146411,NA,NA,0,0,-0.0571562871336937,-0.0349340662360191,NA,272.429910697599,77.7684998747501,0.931,0.04,0.861,1,0,16,"East Asia & Pacific","Liberal",1,1,1,17
"19","Australia","AUS",1978,49.2,NA,0,0,3,4,0,3,3,NA,8529.813531,20347.757196,NA,NA,0,0,-0.0572854615747929,-0.034959901124239,NA,269.709628048781,83.7254476273045,0.931,0.04,0.861,1,0,16,"East Asia & Pacific","Liberal",1,1,1,18
"20","Australia","AUS",1979,49.6,0.085,0,0,3,4,0,3,3,64.38335,9429.932763,22249.423411,NA,NA,0,0,-0.0574146397411823,-0.0350115709006786,NA,270.703329548641,96.3752598831462,0.931,0.04,0.861,1,0,16,"East Asia & Pacific","Liberal",1,1,1,19
"21","Australia","AUS",1980,49.6,NA,0,0,3,4,0,3,3,65.17445,10448.46519,24353.313944,NA,NA,0,0,-0.0574146397411823,-0.0572854615747929,NA,253.984691028876,110.665967596703,0.931,0.03,0.869,1,0,16,"East Asia & Pacific","Liberal",1,1,1,20
"22","Australia","AUS",1981,49.1,0.085,0,0,2,3,0,1,3,65.36742,11922.779278,27646.152054,NA,NA,0,0,-0.279636859893799,-0.101781576871872,788.571832024864,247.38208756191,119.944485548512,0.931,0.03,0.874,1,0,16,"East Asia & Pacific","Liberal",1,1,1,21
"23","Australia","AUS",1982,49.4,NA,0,0,2,3,0,1,3,64.16441,11957.271111,28720.332737,NA,NA,0,0,-0.256886422634125,-0.141727611422539,804.954948253888,243.930908700121,116.980928903668,0.931,0.03,0.874,1,0,16,"East Asia & Pacific","Liberal",1,1,1,22
"24","Australia","AUS",1983,47.3,0.494,0,0,5,4,0,5,3,61.94022,12739.970247,30742.511694,NA,NA,0,0,-0.234135955572128,-0.177097707986832,838.741389757111,237.447055999439,127.074922173856,0.935,0.03,0.874,1,0,16,"East Asia & Pacific","Liberal",1,1,1,23
"25","Australia","AUS",1984,46.4,NA,0,0,4,4,1,4,3,62.82397,13563.24345,32148.88005,NA,NA,0,0,0.43300786614418,-0.0790131986141205,880.918026743727,307.999405195687,125.317364021508,0.935,0.03,0.88,1,0,16,"East Asia & Pacific","Liberal",1,1,1,24
"26","Australia","AUS",1985,46.1,0.503,0,0,4,4,1,4,3,63.7218,14468.52587,33603.034275,NA,NA,0,0,0.43348503112793,0.0191667322069407,1074.34652984174,356.841082468086,133.95273051246,0.935,0.03,0.882,1,0,16,"East Asia & Pacific","Liberal",1,1,1,25
"27","Australia","AUS",1986,45.4,NA,0,0,4,4,1,4,3,65.14481,14952.078547,34377.547725,NA,NA,0,0,0.433350563049316,0.161764219403267,1142.86044500244,318.80838214425,146.329398315928,0.946,0.03,0.882,1,0,16,"East Asia & Pacific","Liberal",1,1,1,26
"28","Australia","AUS",1987,44.4,0.501,0,0,4,4,1,4,3,65.30288,16010.943316,36343.388835,NA,NA,0,0,0.433216124773026,0.299784719944,1193.66850070444,338.872036057293,149.394710368792,0.946,0.03,0.883,1,0,16,"East Asia & Pacific","Liberal",1,1,1,27
"29","Australia","AUS",1988,42.8,NA,0,0,4,4,1,4,3,66.48173,17079.293379,37743.389119,NA,NA,0,0,0.434133231639862,0.433438569307327,1173.29445100388,321.608317886721,152.993512341832,0.946,0.03,0.884,1,0,16,"East Asia & Pacific","Liberal",1,1,1,28
"30","Australia","AUS",1989,41.4,0.517,0,0,4,4,1,4,3,68.19857,17782.18753,38510.666409,NA,NA,0,0,0.435050368309021,0.433847069740295,1274.679020049,303.332760773502,177.075781375489,0.946,0.03,0.884,1,0,16,"East Asia & Pacific","Liberal",1,1,1,29
"31","Australia","AUS",1990,41.3,NA,0,0,4,4,1,4,3,68.37136,17786.978336,39401.315717,40717.4831238073,511.19,0,0,0.434828668832779,0.434115797281265,1334.60228045554,352.099243064187,206.111635341001,0.946,0.03,0.888,1,0,16,"East Asia & Pacific","Liberal",1,1,1,30
"32","Australia","AUS",1991,42,0.513,0,0,4,4,1,4,3,65.9215,18126.137989,41053.039644,40523.5900782983,511.12,0,0,0.434606939554214,0.434367060661316,1384.4253828617,332.769727906079,215.765172491055,0.946,0.03,0.889,1,0,16,"East Asia & Pacific","Liberal",1,1,1,31
"33","Australia","AUS",1992,39.2,NA,0,0,3,3,1,2,3,64.93269,19094.496756,43795.652998,41337.0464496447,513.28,0,0,-0.254682898521423,0.296787261962891,1477.23643619364,327.946849691583,233.336139617615,0.946,0.03,0.889,1,0,16,"East Asia & Pacific","Liberal",3,1,1,32
"34","Australia","AUS",1993,37.7,0.106,0,0,3,3,1,2,2,64.61858,20118.480448,45150.101466,41717.5780272611,512.97,0,0,-0.388417154550552,0.132277190685272,1484.10125237781,305.886522564745,243.839223042643,0.946,0.03,0.89,1,0,16,"East Asia & Pacific","Liberal",3,1,1,33
"35","Australia","AUS",1994,33.8,NA,0,0,3,3,1,2,2,66.00251,21349.565303,46556.068499,42000.4197968986,516.04,0,0,-0.387629956007004,-0.0322588793933392,1516.91156546174,329.339113255461,279.912390330069,0.946,0.03,0.891,1,0,16,"East Asia & Pacific","Liberal",4,1,1,34
